가맹점명,서울페이앱분류업종,자치구명,기본주소
다빈치당구장,레저/스포츠,동작구,서울특별시 동작구 서달로14가길 1
탑수학교습소,교육/서점,동대문구,서울  동대문구  전농3동
풀잎코너,패션/잡화,도봉구,서울 도봉구 덕릉로58길 14
마포공동육아 사회적협동조합,기타,마포구,"서울 마포구 새터산길 35 ,"
뮤즈음악학원,교육/서점,서대문구,"서울 서대문구 가좌로 140,"
칠갑산한우마을,식품,강북구,"서울 강북구 삼양로123길 30,"
개봉현대점피자마루,음식점,구로구,서울특별시 구로구 개봉로 51-1
동아음악학원,교육/서점,중구,서울특별시 중구 동호로10길 30
황금코다리,음식점,성북구,서울특별시 성북구 보국문로16길 38
쌍문재활의학과의원,병원/약국,도봉구,서울특별시 도봉구 해등로 218
하림맥시칸치킨,음식점,서대문구,"서울 서대문구 성산로 380-1,"
베이프 엔젤,마트/슈퍼마켓,중랑구,"서울 중랑구 용마산로 377 ,"
크린토피아 성북로점,생활,성북구,서울특별시 성북구 성북로13길 2
(주)은광 올림픽지점,레저/스포츠,강동구,"서울 강동구 양재대로 1329,"
베티아노 (Vetiano),패션/잡화,성동구,서울특별시 성동구 연무장7길 6
달콩북독서논술교습소,교육/서점,양천구,"서울 양천구 목동동로 10 , 상가에이동 107호 (신정동, 목동신시가지아파트11단지)"
롱약국,병원/약국,마포구,서울특별시 마포구 양화로 지하55
플레베르 플라워,원예/농업,동작구,"서울 동작구 동작대로23길 7,"
멘야마쯔리 성수점,음식점,성동구,서울특별시 성동구 연무장5가길 25
굿모닝신경과의원,병원/약국,강서구,"서울 강서구 화곡로 173,"
육갑식당,음식점,서초구,서울  서초구  잠원로
라엘 음악학원,교육/서점,송파구,"서울 송파구 새말로 138-1,"
해맑은어린이집,교육/서점,동대문구,서울 동대문구 사가정로25가길 20
쁠마영어교습소,교육/서점,강남구,서울 강남구 선릉로64길 15-11
싱싱야채 달달과일,식품,은평구,서울특별시 은평구 응암로 292
니드어린 (Need a lin),뷰티/미용,노원구,서울특별시 노원구 동일로237나길 54
점핑머신,레저/스포츠,용산구,서울특별시 용산구 이촌로 260
CU 강서스카이점,마트/슈퍼마켓,강서구,"서울 강서구 강서로5나길 50,"
얌타이,음식점,송파구,"서울 송파구 송파대로 167,"
한영전기전자,인테리어,영등포구,서울 영등포구 당산로 175
비전프리미엄독서실,교육/서점,송파구,서울특별시 송파구 백제고분로 122
(주)케이두레 증미점(밸런싱요가&필라테스),레저/스포츠,강서구,서울특별시 강서구 양천로 556
이세연한의원,병원/약국,서대문구,"서울 서대문구 거북골로 170,"
한교보습학원,교육/서점,강북구,"서울 강북구 도봉로71가길 11,"
송정,음식점,마포구,서울특별시 마포구 월드컵로17길 38
뉴화이트치과의원,병원/약국,강동구,서울  강동구  성내로
그랑퀴진,음식점,관악구,서울특별시 관악구 신림로65길 27
꼬꼬닭한마리,음식점,은평구,"서울 은평구 연서로26길 9-3,"
이디야 안암래미안점,제과점/커피,성북구,서울특별시 성북구 보문로30가길 42
도로도로커피숍,음식점,동작구,서울특별시 동작구 노량진로 145
(주)대서양식자재마트(DSY MART),마트/슈퍼마켓,성북구,서울특별시 성북구 동소문로 98
1층 미용실 엄쏭,뷰티/미용,서초구,"서울 서초구 남부순환로347길 59,"
투비살롱2호점,뷰티/미용,성북구,서울특별시 성북구 월계로 168
보노(BoNo),기타,용산구,"서울 용산구 녹사평대로32길 24,"
연세드림이비인후과,병원/약국,양천구,"서울 양천구 목동남로4길 2,"
뮤엠영어세곡학원,교육/서점,강남구,"서울 강남구 헌릉로570길 34,"
포엔시드니,음식점,강북구,서울특별시 강북구 도봉로89길 1
지에스25(GS25)S8 암사역점,마트/슈퍼마켓,강동구,서울특별시 강동구 올림픽로 지하776
우리할매떡볶이 서초점,음식점,서초구,서울특별시 서초구 서초중앙로20길 7
주식회사 생고기왕,식품,광진구,서울특별시 광진구 천호대로 576
오박사네돈까스집,음식점,성북구,서울특별시 성북구 혜화로 80
박승철헤어스투디오,뷰티/미용,관악구,서울특별시 관악구 남부순환로 1604
이고제이헤어,뷰티/미용,송파구,서울특별시 송파구 정의로7길 13
종로빈대떡,음식점,강남구,"서울 강남구 일원로5길 3,"
주식회사 보다논술,교육/서점,강남구,서울특별시 강남구 선릉로72길 10-16
메가엠지씨커피 월곡역점,제과점/커피,성북구,서울특별시 성북구 화랑로13길 7
현음악학원,교육/서점,성북구,서울 성북구 정릉4동
성북하연과학교습소,교육/서점,성북구,"서울 성북구 정릉로 305,"
린참치,음식점,서초구,"서울 서초구 강남대로43길 17,"
가인헤어,뷰티/미용,양천구,서울특별시 양천구 신목로 28
이즈,음식점,강남구,"서울 강남구 논현로171길 12,"
수신당,음식점,서대문구,서울특별시 서대문구 수색로2길 39
구이마을,음식점,서대문구,서울  서대문구  창천동
무한리필 돈 모아모아,음식점,강북구,서울특별시 강북구 솔매로 92
금강정화개발(주),컨설팅,강북구,"서울 강북구 솔샘로67길 62,"
석거리홍어,음식점,동대문구,"서울 동대문구 장한로27길 8,"
CU 가산벚꽃로점,마트/슈퍼마켓,금천구,"서울 금천구 벚꽃로 312-1,"
한국체대 국가대표 태권도장,교육/서점,강서구,"서울특별시 강서구 공항대로41길 75 601,602호"
불닭발땡초동대문엽기떡볶이 마곡점,음식점,강서구,서울특별시 강서구 마곡중앙6로 16
가자노래방,기타,관악구,서울  관악구  신림5동
배터리몬스터 강동구점,자동차정비/용품,강동구,서울특별시 강동구 명일로 166
백령도횟집,음식점,종로구,서울  종로구  신교동
진이순대국,음식점,은평구,서울특별시 은평구 응암로22길 11
남영상회,식품,은평구,서울  은평구  응암3동
(주)레스페이스 서울대역점,레저/스포츠,관악구,"서울 관악구 남부순환로 1873,"
세란치과의원,병원/약국,강북구,서울 강북구 한천로 1091
혁이네,음식점,성동구,서울특별시 성동구 용답중앙15길 16
조군술방,음식점,노원구,"서울 노원구 동일로 1700,"
그날의 나무,패션/잡화,양천구,서울특별시 양천구 목동중앙북로16길 36
청구홍익미술교습소,교육/서점,노원구,"서울 노원구 한글비석로 89,"
설레는하루,뷰티/미용,은평구,서울특별시 은평구 갈현로 76
빨강여우,뷰티/미용,금천구,서울 금천구 시흥대로148길 33
더바른치과의원,병원/약국,서초구,서울특별시 서초구 서초중앙로 238
미소본한의원,병원/약국,동작구,서울 동작구 보라매로5가길 16
곰국수,음식점,강남구,서울특별시 강남구 선릉로 815
커피볶는꾼상봉역점,음식점,중랑구,서울특별시 중랑구 면목로 484
더좋은,패션/잡화,중구,서울특별시 중구 소월로 3
가은  헤어크리닉,뷰티/미용,구로구,서울  구로구  구로동로28길  70-2
와이지Y.G테라피,기타,성북구,서울특별시 성북구 돌곶이로22길 5
맑은샘심리상담연구소 주식회사,상담,용산구,"서울 용산구 한강대로 122,"
몽당연필수학교습소,교육/서점,구로구,서울특별시 구로구 서해안로 2118
탑수학학원,교육/서점,은평구,서울  은평구  연서로27길  25
의정부 평양냉면,음식점,강서구,서울특별시 강서구 마곡중앙6로 45
김록훈 베이커리,제과점/커피,강남구,"서울 강남구 도산대로8길 23,"
좋은연 복집,음식점,강서구,서울특별시 강서구 양천로 401
보드람치킨,음식점,강서구,"서울 강서구 금낭화로 91-2,"
자담치킨 서울서대문역점,음식점,종로구,서울특별시 종로구 경교장길 35
(주)코리아세븐S장한평역점,마트/슈퍼마켓,동대문구,서울  동대문구  장안동
주식회사 청과원 길음점,식품,성북구,서울특별시 성북구 길음로 33
씨유성북로데오점,마트/슈퍼마켓,성북구,서울  성북구  동소문로20가길  22
뷰티스톤의원,병원/약국,서초구,서울특별시 서초구 서초대로 2
진짜무쇠삼겹 서울신림점,음식점,관악구,서울특별시 관악구 신림로59길 10
우리약국,병원/약국,강서구,"서울 강서구 강서로18다길 34,"
아이스크림할인점 수락점,마트/슈퍼마켓,노원구,서울특별시 노원구 동일로241가길 5
피트니스플랜비,레저/스포츠,마포구,"서울 마포구 월드컵북로54길 11 ,"
소풍가는날,음식점,영등포구,서울  영등포구  양평로21가길  2
슬로우캘리 송리단점,음식점,송파구,서울특별시 송파구 오금로 126
송파바로동물병원,반려동물,송파구,"서울 송파구 새말로 125,"
큐사랑,뷰티/미용,은평구,서울특별시 은평구 은평로21길 8
에스뷰테라 옥수점,뷰티/미용,성동구,"서울 성동구 매봉길 13,"
GS25 궁동중앙점,마트/슈퍼마켓,구로구,서울특별시 구로구 부일로11길 85
우리김밥,음식점,관악구,"서울 관악구 신림동길 24-1,"
킹콩부대찌개(경희대점),음식점,동대문구,서울특별시 동대문구 경희대로1가길 17
박가네,음식점,중랑구,서울 중랑구 공릉로 6
불닭발땡초 동대문엽기떡볶이 수락산점,음식점,노원구,"서울 노원구 동일로 1670,"
청년다방,음식점,강동구,서울 강동구 성내로 66
담꾹 상왕십리점,마트/슈퍼마켓,성동구,서울특별시 성동구 무학로 10
청구문구,문구/완구,광진구,서울특별시 광진구 아차산로 499
숯불꼼장어,음식점,은평구,"서울 은평구 통일로 697,"
빽다방 중화역점,제과점/커피,중랑구,서울특별시 중랑구 봉화산로 39
고대안경,패션/잡화,성북구,서울 성북구 인촌로 90
테일오브테일스(Tale Of Tails),음식점,관악구,서울특별시 관악구 행운1길 2
웃는내일약국,병원/약국,영등포구,서울특별시 영등포구 선유로 64
새서울약국,병원/약국,강서구,"서울 강서구 양천로57길 9-7,"
함지박,음식점,용산구,서울 용산구 원효로97길 40
카페게이트건대점,음식점,광진구,서울특별시 광진구 아차산로29길 29
혜윰,의류/직물,관악구,"서울 관악구 남부순환로239길 6,"
동인음악학원,교육/서점,양천구,"서울 양천구 오목로 69,"
GS25 강남사랑점,마트/슈퍼마켓,강남구,"서울 강남구 역삼로15길 20,"
종로김밥,음식점,종로구,서울특별시 종로구 통일로 246-9
세화음악학원,교육/서점,노원구,서울  노원구  하계2동
GS25  오크우드점,마트/슈퍼마켓,강남구,서울  강남구  삼성동
강서농협양천지점,마트/슈퍼마켓,양천구,서울 양천구 오목로 52
마라돈왕주먹고기,음식점,용산구,서울 용산구 한강대로17길 7
딴짓제과점,제과점/커피,동작구,서울특별시 동작구 동작대로15길 24-9 1층(사당동)
후생약국,병원/약국,노원구,서울  노원구  상계동
히어네일,뷰티/미용,구로구,서울특별시 구로구 고척로30길 6
서연고학원,교육/서점,서초구,"서울 서초구 효령로 183,"
나무약국,병원/약국,송파구,서울특별시 송파구 중대로 24
뷰티풀 결 박진서,뷰티/미용,성북구,서울특별시 성북구 돌곶이로40길 46 상가1동 지층8호
카르페디엠,음식점,성동구,"서울 성동구 청계천로 426,"
속초 소머리국밥 선지해장국,음식점,마포구,서울특별시 마포구 굴레방로9길 8-9
청담면옥,음식점,강남구,서울 강남구 선릉로 664
만주리양꼬치,음식점,중랑구,서울특별시 중랑구 봉화산로54길 29
GS25 역삼쏘도베점,마트/슈퍼마켓,강남구,서울 강남구 강남대로94길 95
미니안 스튜디오,사진,노원구,서울특별시 노원구 동일로 1651
수수삼겹,음식점,강서구,서울특별시 강서구 화곡로56길 25
칵투스펍(Cactus Pub),음식점,용산구,서울특별시 용산구 백범로87길 52
그린생선,식품,강동구,서울특별시 강동구 고덕로 210
짐(GYM)88,레저/스포츠,성동구,서울특별시 성동구 아차산로 88
송강제면소,음식점,성동구,서울특별시 성동구 광나루로 320-1
맛깔찬방,음식점,영등포구,서울특별시 영등포구 신길로42길 26
마미킷,마트/슈퍼마켓,서대문구,서울특별시 서대문구 거북골로 100
레몬마트,마트/슈퍼마켓,종로구,"서울 종로구 대학로 144,"
임면옥,음식점,광진구,서울특별시 광진구 능동로 338
에너메카,레저/스포츠,강북구,서울특별시 강북구 도봉로45길 34
허브동물병원,반려동물,구로구,"서울 구로구 구일로10길 27,"
(주) 어반그룹 바토스 이태원점,음식점,용산구,"서울 용산구 이태원로15길 1,"
준헤어,뷰티/미용,송파구,"서울 송파구 백제고분로7길 42-38,"
울엄마밥상,음식점,구로구,서울특별시 구로구 고척로27길 114
신성카공업사,자동차정비/용품,동대문구,서울  동대문구  답십리5동
스피킹스튜디오,교육/서점,강남구,서울특별시 강남구 강남대로78길 24
GS25 마포공덕점,마트/슈퍼마켓,마포구,서울특별시 마포구 마포대로8길 9
네일또와,뷰티/미용,강남구,서울특별시 강남구 논현로38길 46-3
쌀똑,마트/슈퍼마켓,서대문구,서울특별시 서대문구 영천시장길 18
닥공영어교습소,교육/서점,은평구,서울특별시 은평구 진관3로 67
다미,음식점,영등포구,서울 영등포구 국회대로70길 7
씨티요가 자곡,레저/스포츠,강남구,서울특별시 강남구 자곡로 201
황금축산,식품,강서구,"서울 강서구 강서로 279-55,"
마라공방(은평구청점),음식점,은평구,서울특별시 은평구 은평로 197
청남한의원,병원/약국,종로구,서울특별시 종로구 북촌로 39
홍콩반점 구로시장점,음식점,구로구,"서울 구로구 구로동로26길 125,"
태양1호점,음식점,강남구,서울 강남구 역삼동 748-29
농협안심축산물전문점,식품,은평구,서울  은평구  진관3로  70
헤어플러스,뷰티/미용,서대문구,"서울 서대문구 통일로 397,"
스몰커피 로스터스,음식점,마포구,서울특별시 마포구 포은로 64
올리브영 마포역점,생활,마포구,서울특별시 마포구 마포대로 53
또바기공동육아사회적협동조함,교육/서점,마포구,서울 마포구 월드컵로5길 33-18
이상화수학,교육/서점,관악구,서울  관악구  신림10동
데이틴커피,제과점/커피,광진구,서울특별시 광진구 자양로53길 96
씨티헤어,뷰티/미용,광진구,서울  광진구  자양2동
캐빈호프,음식점,마포구,서울특별시 마포구 만리재로 3
홍익요가연구원,레저/스포츠,마포구,"서울 마포구 신촌로 46,"
가마로강정(신길삼거리점),음식점,영등포구,서울특별시 영등포구 영등포로 356
하정한정형외과,병원/약국,동작구,"서울 동작구 보라매로 113,"
씨유건대화양점,마트/슈퍼마켓,광진구,서울  광진구  화양동
완도전복,음식점,중구,서울  중구  신당3동
GS25 문래영시티점,마트/슈퍼마켓,영등포구,"서울 영등포구 문래로28길 25 ,"
이디야 커피 증산동점,제과점/커피,은평구,서울 은평구 증산서길 78
대복상회,식품,중구,서울  중구  을지로5가
한솔플러스영어교습소,교육/서점,노원구,서울특별시 노원구 공릉로34길 33
싱싱오징어바다,음식점,성동구,서울특별시 성동구 용답중앙15길 6
롯데리아  구로IT점,음식점,구로구,서울 구로구 구로동 197-22
리윤피부과의원,병원/약국,송파구,서울특별시 송파구 양재대로 1164
강남아름다운유외과의원,병원/약국,강남구,서울특별시 강남구 테헤란로 410
애플,사진,강서구,"서울 강서구 화곡로 420,"
홍홍,음식점,송파구,서울특별시 송파구 송이로20길 11
티아라2,의류/직물,송파구,서울특별시 송파구 송파대로 567
포스트잉글리쉬 보습학원,교육/서점,송파구,서울특별시 송파구 올림픽로35길 112
그리다 아이래쉬,뷰티/미용,강남구,"서울 강남구 논현로153길 59,"
김형제고기의철학 구로디지털단지역점,음식점,구로구,서울특별시 구로구 디지털로32나길 12
이상순김밥,음식점,금천구,서울특별시 금천구 시흥대로58길 5
나이스,의류/직물,송파구,서울특별시 송파구 올림픽로 지하265
주식회사 디엘코퍼레이션,음식점,송파구,서울특별시 송파구 오금로11길 21-9
메가엠지커피 아차산역점,음식점,광진구,서울특별시 광진구 자양로43길 47
착한헤어감동,뷰티/미용,도봉구,서울특별시 도봉구 노해로65길 11
태극합기도,교육/서점,마포구,서울특별시 마포구 큰우물로 39-4
씨유(CU) 용마하늘점,마트/슈퍼마켓,중랑구,서울특별시 중랑구 용마산로 194
신경화미용실,뷰티/미용,동작구,서울 동작구 노량진로26길 3-2
굿스,의류/직물,성북구,서울 성북구 동소문로20나길 18
황토정,음식점,동작구,서울  동작구  서달로13길  5-23
거마농장,음식점,송파구,서울특별시 송파구 거마로2길 24
루피네,반려동물,용산구,"서울 용산구 새창로 144-1,"
정약국,병원/약국,강남구,서울 강남구 봉은사로 331
크우익가든,음식점,성동구,"서울 성동구 고산자로2길 4-1,"
세곡이화산부인과,병원/약국,강남구,서울특별시 강남구 헌릉로 569
포이커피앤베이킹,음식점,강남구,서울특별시 강남구 논현로12길 33
감탄,음식점,동대문구,"서울 동대문구 정릉천동로 58,"
빨봉분식(숙대점),음식점,용산구,서울 용산구 청파로47길 71
매그나학원,교육/서점,강남구,"서울 강남구 삼성로 150,"
극동기름농산,식품,광진구,"서울 광진구 뚝섬로30길 16,"
토종한우,식품,강동구,서울  강동구  길1동
장독대 중계점,마트/슈퍼마켓,노원구,서울특별시 노원구 한글비석로 253
준스튜디오,사진,강북구,서울 강북구 덕릉로 66
행복떡볶이,음식점,성동구,서울특별시 성동구 행당로 108
압구정봉구비어,음식점,서초구,서울 서초구 방배로28길 7
포도나무 국어논술학원,교육/서점,동작구,"서울 동작구 상도로 303,"
월화케이크,마트/슈퍼마켓,강서구,서울특별시 강서구 등촌로39길 63-7
최고한우돈,음식점,강서구,서울특별시 강서구 곰달래로15길 46
노량해전노량진횟집,음식점,동작구,서울특별시 동작구 만양로16길 4
황금슈퍼,마트/슈퍼마켓,강서구,서울  강서구  방화3동
해오름소아청소년과의원,병원/약국,강서구,"서울 강서구 양천로 583,"
1번지옛날통닭,음식점,노원구,서울특별시 노원구 덕릉로 659
제이스크린골프,레저/스포츠,영등포구,"서울 영등포구 선유로45길 5,"
안정자 김밥,음식점,은평구,"서울 은평구 연서로48길 11,"
목식당,음식점,종로구,서울특별시 종로구 백석동길 13
시티오아시스(city oasis),음식점,강서구,서울특별시 강서구 마곡중앙8로5길 11
춘천집,음식점,강서구,서울특별시 강서구 양천로3길 34
써드힐헤어스파,뷰티/미용,구로구,서울 구로구 구로동 1125-1
요가의미,레저/스포츠,중랑구,서울특별시 중랑구 상봉로28길 21 201호
두바이,음식점,용산구,"서울 용산구 이태원로 192,"
한끼스낵,음식점,은평구,서울특별시 은평구 진관4로 87
지에스(GS)25 정릉시장점,마트/슈퍼마켓,성북구,서울특별시 성북구 솔샘로6길 66
퍼스널 휠스,기타,강남구,서울특별시 강남구 논현로71길 43-1
캐논상사,문구/완구,강동구,"서울 강동구 성내로 28,"
케이알헤어갤러리,뷰티/미용,관악구,서울  관악구  신림12동
GS25 둔촌프라자점,마트/슈퍼마켓,강동구,서울 강동구 천호대로198길 32
영덕 회식당 종로점,음식점,종로구,서울특별시 종로구 종로5길 32-12
엠알에스영어학원,교육/서점,송파구,서울특별시 송파구 동남로18길 39-1
월드크리닝,생활,광진구,서울특별시 광진구 동일로30길 32
더풋샵 천호역점,기타,강동구,서울특별시 강동구 올림픽로 659
미  헤어라인,뷰티/미용,도봉구,"서울 도봉구 덕릉로 398,"
GS25성내타운점,마트/슈퍼마켓,강동구,서울 강동구 천호대로174길 22
리스펙트 킥봉싱 아카테미,교육/서점,서초구,"서울 서초구 서운로 32,"
엘뮤뮤직아카데미,교육/서점,강남구,"서울 강남구 도산대로25길 45,"
온다매육가,식품,성동구,서울 성동구 마장로37길 40 (마장동)
Song헤어,뷰티/미용,은평구,서울  은평구  증산서길  114
멘토링학원,교육/서점,도봉구,서울특별시 도봉구 해등로16길 60
더조은필라테스평생교육원,레저/스포츠,강남구,서울특별시 강남구 남부순환로 2917
광명수산,음식점,구로구,서울  구로구  신도림동
버거 더 스패로우,음식점,성북구,"서울 성북구 화랑로5길 91,"
루나화장훔&슈즈,패션/잡화,강북구,"서울 강북구 도봉로67길 18,"
헬린 구로구청점,레저/스포츠,구로구,서울특별시 구로구 가마산로 246
곱창고,음식점,종로구,"서울 종로구 창경궁로34길 18-6,"
처갓집양념치킨 답십리점,음식점,동대문구,서울특별시 동대문구 서울시립대로4길 27
비상수학 역촌캠퍼스,교육/서점,은평구,"서울 은평구 연서로3가길 6,"
유한회사 수동상회,음식점,송파구,서울 송파구 가락동 600
아이러브안경원,패션/잡화,서초구,서울특별시 서초구 남부순환로 지하2585
코리아세븐-망원2호점,마트/슈퍼마켓,마포구,서울 마포구 월드컵로 161
감미옥,음식점,서초구,"서울 서초구 신반포로23길 30,"
커피베이(강북인수점),제과점/커피,강북구,서울 강북구 삼양로 437
페리카나목동체인점,음식점,양천구,서울  양천구  목동중앙남로10길  7
우수살롱,음식점,마포구,서울특별시 마포구 동교로30길 17-1
오븐마루 봉천현대시장점,음식점,관악구,서울특별시 관악구 중앙길 133
워라밸피트니스24시 쌍문역점,레저/스포츠,도봉구,서울특별시 도봉구 도봉로110나길 21
용인대SM복싱클럽,레저/스포츠,양천구,서울 양천구 목동중앙북로 21
고기나라,음식점,동대문구,서울 동대문구 답십리동 93-5
필안경,패션/잡화,도봉구,서울 도봉구 덕릉로 228
하우돈곱창,음식점,금천구,서울특별시 금천구 가산디지털1로 186
이삭토스트 홍제삼거리점,음식점,서대문구,서울특별시 서대문구 통일로 414
ATA(에이티에이) 치과의원,병원/약국,강남구,서울특별시 강남구 강남대로 406
오달이네분식 참맛식품,음식점,강북구,서울 강북구 도봉로71길 17
사오,제과점/커피,강서구,서울특별시 강서구 공항대로 247
아이디헤어 아현뉴타운점,뷰티/미용,마포구,서울특별시 마포구 마포대로 173-14
안경공장공장장 콘택트 남대문코코점,패션/잡화,중구,서울특별시 중구 남대문시장4길 32
이삭토스트(창동하나로클럽),음식점,도봉구,서울특별시 도봉구 마들로11길 20
정릉성모내과,병원/약국,성북구,서울 성북구 보국문로 14
대치휘튼학원,교육/서점,강남구,"서울 강남구 삼성로64길 45,"
그녀들의 옷방,의류/직물,도봉구,서울특별시 도봉구 도당로9길 45
삼대냉면,음식점,강동구,서울  강동구  양재대로128길  25
형제상회,식품,은평구,서울특별시 은평구 응암로12길 7-1
서양식당,음식점,영등포구,서울특별시 영등포구 당산로29길 5
플란츠앤플라(plantz N fla),문화/예술,동작구,서울특별시 동작구 성대로16길 67-5
중앙수산물,식품,관악구,"서울 관악구 신원로 23,"
명품세탁소,생활,송파구,"서울 송파구 충민로4길 19,"
성수연세치과,병원/약국,성동구,서울  성동구  성수2가3동
소월네일,뷰티/미용,동대문구,서울특별시 동대문구 제기로38길 13
(유)남성유통,식품,송파구,"서울 송파구 양재대로 932,"
미도안경,패션/잡화,강남구,서울특별시 강남구 삼성로 38
삼겹나라,음식점,양천구,"서울 양천구 지양로 88,"
왼손우동짜장,음식점,동대문구,"서울 동대문구 이문로 61,"
블랙여우왁싱&속눈썹,기타,관악구,"서울 관악구 남부순환로 1794,"
신촌설렁탕,음식점,금천구,서울  금천구  가산동
노벨로(novello),음식점,영등포구,서울특별시 영등포구 도림로 456
카페 달지,음식점,강서구,서울특별시 강서구 강서로 443
메가엠지씨커피 대림사거리점,제과점/커피,영등포구,서울특별시 영등포구 시흥대로 629
춘리(CHUN-LI),음식점,중랑구,서울특별시 중랑구 망우로 283
나만의 비밀정원,원예/농업,노원구,서울특별시 노원구 동일로 1384
현대수산,음식점,서대문구,"서울 서대문구 서소문로 45,"
피자마루(영등포남부역점),음식점,영등포구,서울특별시 영등포구 영신로19길 7
피자에땅 신림본동점,음식점,관악구,서울특별시 관악구 신림로48길 6
대학당약국,병원/약국,관악구,서울  관악구  신림6동
한우특가 신내점,음식점,중랑구,서울특별시 중랑구 봉화산로 243
에마블(Aimable),뷰티/미용,강남구,서울특별시 강남구 봉은사로74길 20
시골집,음식점,강북구,서울  강북구  삼양로  647
나루동태탕,음식점,강서구,서울특별시 강서구 마곡중앙5로1길 25
지와이아이엔씨 주식회사,패션/잡화,중구,"서울 중구 소공로6길 13-7,"
크린토피아성산중동점,생활,마포구,서울 마포구 성암로11길 20
얌샘김밥 월곡역점,음식점,성북구,"서울특별시 성북구 화랑로 76 1층 112-2호(하월곡동, 코업스타클래스)"
아침햇살약국,병원/약국,구로구,"서울 구로구 시흥대로 563,"
한남베르그,음식점,용산구,서울특별시 용산구 이태원로54길 58-26
금천언어심리발달센터,상담,금천구,서울  금천구  시흥대로  414
카페우디 광화문점,음식점,종로구,서울특별시 종로구 새문안로5길 19
베이크하우스,제과점/커피,동대문구,서울특별시 동대문구 전농로 11
왕십리약국,병원/약국,성동구,서울 성동구 무학봉길 92
소담,음식점,구로구,"서울 구로구 구로동로22길 16-24,"
웰빙건강원,마트/슈퍼마켓,관악구,"서울 관악구 관천로15길 100,"
미소야,음식점,강남구,"서울 강남구 영동대로 219,"
드림스포츠,의류/직물,동대문구,서울특별시 동대문구 천호대로33길 53
행복축산,식품,강북구,"서울 강북구 도봉로67길 18,"
씨유 성수협성점,마트/슈퍼마켓,성동구,"서울 성동구 아차산로13길 33,"
교촌치킨 연신내점,음식점,은평구,서울특별시 은평구 통일로 866-1
올데이,레저/스포츠,강서구,서울특별시 강서구 강서로18가길 4
아르또 헤어갤러리,뷰티/미용,강서구,서울  강서구  양천로
성북펜싱체육관,레저/스포츠,성북구,"서울 성북구 종암로24가길 53,"
진준안중화요리,음식점,서초구,서울특별시 서초구 동광로 19
미광세탁소,생활,강북구,"서울 강북구 솔매로 2,"
약수치과의원,병원/약국,강서구,서울  강서구  내발산2동
등촌샤브칼국수,음식점,관악구,서울 관악구 은천로 51
구파발넘버원구원수학학원,교육/서점,은평구,서울특별시 은평구 통일로 1080
진희네꽃게,식품,송파구,"서울 송파구 양재대로 932,"
아랑네일,뷰티/미용,도봉구,서울특별시 도봉구 도당로27길 75
친구들의 미술학원,교육/서점,송파구,서울특별시 송파구 성내천로 212
주식회사 온센 광화문점,음식점,중구,서울특별시 중구 세종대로 136
성은약국,병원/약국,마포구,서울  마포구  공덕동
오븐에빠진닭,음식점,강서구,서울특별시 강서구 화곡로 149
오브헤어,뷰티/미용,은평구,서울특별시 은평구 응암로14길 7
포스축구아카데미,교육/서점,영등포구,서울특별시 영등포구 디지털로 401
귀빈,음식점,노원구,서울  노원구  공릉동
이치젠,음식점,마포구,서울특별시 마포구 포은로 109
금천구청,컨설팅,금천구,서울 금천구 시흥대로73길 70
지에스G25 신내프라디움점,마트/슈퍼마켓,중랑구,"서울 중랑구 용마산로 670 ,"
크린토피아(도봉방학역점),생활,도봉구,"서울 도봉구 도봉로150길 43,"
북창동 황소곱창,음식점,중구,서울 중구 남대문로 25-9
맘스 헤어,뷰티/미용,구로구,"서울 구로구 구로동로28길 39,"
쿠치나디까사,음식점,송파구,"서울 송파구 송파대로 201,"
수락카손세차,자동차정비/용품,노원구,서울 노원구 동일로246길 12
속초오징어어시장,음식점,동작구,서울특별시 관악구 보라매로 15
만복국수 문정점,음식점,송파구,서울특별시 송파구 법원로11길 25
이디야 화랑대역점,제과점/커피,중랑구,서울특별시 중랑구 신내로25가길 2
기탄사고력교실 성동옥수리버젠점,교육/서점,성동구,서울특별시 성동구 매봉길 15
휀피아노,교육/서점,영등포구,서울 영등포구 신길동
연남정육점,식품,은평구,서울 은평구 진관4로 78-8
에센스커피 여의도점,음식점,영등포구,서울특별시 영등포구 국제금융로6길 30
시장탕수육,음식점,관악구,서울특별시 관악구 관천로 19
커피로,음식점,은평구,"서울 은평구 연서로29길 7-10,"
인심커텐,의류/직물,종로구,서울특별시 종로구 종로 266
복호두 강동상일점,제과점/커피,강동구,서울특별시 강동구 고덕로 385
배스킨라빈스,음식점,금천구,"서울 금천구 시흥대로 229,"
주식회사 해피홈마트,마트/슈퍼마켓,성동구,서울특별시 성동구 마장로 292
대성축산,식품,영등포구,서울특별시 영등포구 영신로19길 13
헤어궁전,뷰티/미용,노원구,서울  노원구  월계2동
향기나는맘,인테리어,성북구,"서울 성북구 동소문로 227,"
일공일수학보습학원,교육/서점,강동구,서울특별시 강동구 구천면로 660
메가엠지씨커피서울시청점,제과점/커피,중구,서울특별시 중구 다동길 34
세븐일레븐 연남라센트라점,마트/슈퍼마켓,마포구,서울특별시 마포구 연남로 75
진쭈꾸,음식점,강북구,서울특별시 강북구 삼양로20길 41
지에스(GS)25 송파배명점,마트/슈퍼마켓,송파구,서울특별시 송파구 삼학사로11길 3
조아약국,병원/약국,성북구,서울 성북구 화랑로 87
